sample_id,sample_year,site_id,sample_hitch,sample_type,rep,area_cm2,vol_filtered_ml,dry_mass_g,ash_mass_g
afdm_364,2016,LR08,H2,seston,1,NA,2000,0.1166,0.1131
afdm_380,2016,LR08,H3,seston,1,NA,2300,0.1019,0.0995
afdm_349,2016,MB01,H1,seston,1,NA,4000,0.1102,0.109
afdm_365,2016,MB01,H2,seston,1,NA,4000,0.146,0.1452
afdm_381,2016,MB01,H3,seston,1,NA,4000,0.1223,0.122
afdm_350,2016,MB02,H1,seston,1,NA,3500,0.1355,0.1328
afdm_366,2016,MB02,H2,seston,1,NA,3500,0.156,0.1541
afdm_382,2016,MB02,H3,seston,1,NA,3500,0.1069,0.1059
afdm_351,2016,MB03,H1,seston,1,NA,1500,0.1319,0.1304
afdm_367,2016,MB03,H2,seston,1,NA,1500,0.1147,0.1131
afdm_383,2016,MB03,H3,seston,1,NA,1500,0.1173,0.1164
afdm_352,2016,MB04,H1,seston,1,NA,1000,0.1468,0.1449
afdm_368,2016,MB04,H2,seston,1,NA,1000,0.1255,0.1239
afdm_384,2016,MB04,H3,seston,1,NA,1100,0.1563,0.155
afdm_353,2016,SW01,H1,seston,1,NA,4000,0.1283,0.1277
afdm_369,2016,SW01,H2,seston,1,NA,4000,0.1293,0.1286
afdm_385,2016,SW01,H3,seston,1,NA,4200,0.1299,0.1295
afdm_354,2016,SW02,H1,seston,1,NA,3500,0.1314,0.1279
afdm_370,2016,SW02,H2,seston,1,NA,3500,0.1032,0.1009
afdm_386,2016,SW02,H3,seston,1,NA,4000,0.1481,0.1468
afdm_355,2016,SW03,H1,seston,1,NA,1500,0.1371,0.1354
afdm_371,2016,SW03,H2,seston,1,NA,1500,0.1377,0.1351
afdm_387,2016,SW03,H3,seston,1,NA,1500,0.1151,0.1146
afdm_356,2016,SW04,H1,seston,1,NA,1000,0.1435,0.1419
afdm_372,2016,SW04,H2,seston,1,NA,800,0.1353,0.1342
afdm_388,2016,SW04,H3,seston,1,NA,1000,0.1405,0.1395
afdm_389,2017,LR00,H1,seston,2,NA,3500,0.1442,0.143
afdm_401,2017,LR00,H2,seston,2,NA,3700,0.1441,0.1435
afdm_413,2017,LR00,H3,seston,2,NA,4000,0.1532,0.153
afdm_390,2017,LR02,H1,seston,2,NA,2700,0.1559,0.1541
afdm_402,2017,LR02,H2,seston,2,NA,3000,0.1238,0.1222
afdm_414,2017,LR02,H3,seston,2,NA,3000,0.1438,0.1432
afdm_391,2017,LR03,H1,seston,2,NA,2900,0.1573,0.1535
afdm_403,2017,LR03,H2,seston,2,NA,2900,0.159,0.1571
afdm_415,2017,LR03,H3,seston,2,NA,2900,0.1568,0.156
afdm_392,2017,LR04,H1,seston,2,NA,1400,0.1227,0.12
afdm_404,2017,LR04,H2,seston,2,NA,1400,0.151,0.1489
afdm_416,2017,LR04,H3,seston,2,NA,1400,0.1463,0.1451
afdm_393,2017,LR05,H1,seston,2,NA,1600,0.1293,0.1275
afdm_405,2017,LR05,H2,seston,2,NA,1600,0.1485,0.1468
afdm_417,2017,LR05,H3,seston,2,NA,1600,0.1365,0.1352
afdm_394,2017,LR06,H1,seston,2,NA,2100,0.1379,0.134
afdm_406,2017,LR06,H2,seston,2,NA,2100,0.1451,0.1416
afdm_418,2017,LR06,H3,seston,2,NA,2100,0.1532,0.1508
afdm_395,2017,LR07,H1,seston,2,NA,2500,0.1211,0.1179
afdm_407,2017,LR07,H2,seston,2,NA,1500,0.1268,0.1245
afdm_419,2017,LR07,H3,seston,2,NA,2900,0.1531,0.15
afdm_396,2017,LR08,H1,seston,2,NA,2300,0.1285,0.1255
afdm_408,2017,LR08,H2,seston,2,NA,2300,0.136,0.1315
afdm_420,2017,LR08,H3,seston,2,NA,2300,0.1375,0.1353
afdm_397,2017,SW01,H1,seston,2,NA,3800,0.1554,0.1549
afdm_409,2017,SW01,H2,seston,2,NA,4000,0.1495,0.1485
afdm_421,2017,SW01,H3,seston,2,NA,4100,0.1476,0.1475
afdm_398,2017,SW02,H1,seston,2,NA,3500,0.1476,0.1435
afdm_410,2017,SW02,H2,seston,2,NA,3000,0.1488,0.1472
afdm_422,2017,SW02,H3,seston,2,NA,3800,0.1587,0.1572
afdm_399,2017,SW03,H1,seston,2,NA,1500,0.1323,0.1305
afdm_411,2017,SW03,H2,seston,2,NA,1500,0.1239,0.121
afdm_423,2017,SW03,H3,seston,2,NA,1500,0.1266,0.1257
afdm_400,2017,SW04,H1,seston,2,NA,1000,0.1337,0.1317
afdm_412,2017,SW04,H2,seston,2,NA,1000,0.1579,0.1562
afdm_424,2017,SW04,H3,seston,2,NA,1100,0.1341,0.1335
